sepal_length,sepal_width,petal_length,petal_width,species
6.3,3.3,6.0,2.5,Iris-virginica
5.8,2.7,5.1,1.9,Iris-virginica
7.1,3.0,5.9,2.1,Iris-virginica
6.3,2.9,5.6,1.8,Iris-virginica
6.5,3.0,5.8,2.2,Iris-virginica
4.6,3.4,1.4,0.3,Iris-setosa
5.0,3.4,1.5,0.2,Iris-setosa

# ── Resultados Estatisticos ──────────────
# Media sepal_length : 5.9429
# Media sepal_width  : 3.1000
# Media petal_length : 4.4714
# Media petal_width  : 1.5714
# Especie predominante (moda): Iris-virginica
# ─────────────────────────────────────────
