sepal_length,sepal_width,petal_length,petal_width,species
5.5,2.3,4.0,1.3,Iris-versicolor
6.5,2.8,4.6,1.5,Iris-versicolor
5.7,2.8,4.5,1.3,Iris-versicolor
6.3,3.3,4.7,1.6,Iris-versicolor
4.9,2.4,3.3,1.0,Iris-versicolor
6.6,2.9,4.6,1.3,Iris-versicolor
5.2,2.7,3.9,1.4,Iris-versicolor
5.0,2.0,3.5,1.0,Iris-versicolor

# ── Resultados Estatisticos ──────────────
# Media sepal_length : 5.7125
# Media sepal_width  : 2.6500
# Media petal_length : 4.1375
# Media petal_width  : 1.3000
# Especie predominante (moda): Iris-versicolor
# ─────────────────────────────────────────
