sepal_length,sepal_width,petal_length,petal_width,species
5.1,3.5,1.4,0.2,Iris-setosa
4.9,3.0,1.4,0.2,Iris-setosa
4.7,3.2,1.3,0.2,Iris-setosa
4.6,3.1,1.5,0.2,Iris-setosa
5.0,3.6,1.4,0.2,Iris-setosa
7.0,3.2,4.7,1.4,Iris-versicolor
6.4,3.2,4.5,1.5,Iris-versicolor
6.9,3.1,4.9,1.5,Iris-versicolor

# ── Resultados Estatisticos ──────────────
# Media sepal_length : 5.5750
# Media sepal_width  : 3.2375
# Media petal_length : 2.6375
# Media petal_width  : 0.6750
# Especie predominante (moda): Iris-setosa
# ─────────────────────────────────────────
