sepal_length,sepal_width,petal_length,petal_width,species
5.8,4.0,1.2,0.2,Iris-setosa
5.7,4.4,1.5,0.4,Iris-setosa
5.4,3.9,1.3,0.4,Iris-setosa
5.1,3.5,1.4,0.3,Iris-setosa
5.7,3.8,1.7,0.3,Iris-setosa
5.1,3.8,1.5,0.3,Iris-setosa
6.1,2.8,4.7,1.2,Iris-versicolor
6.4,2.9,4.3,1.3,Iris-versicolor
6.6,3.0,4.4,1.4,Iris-versicolor

# ── Resultados Estatisticos ──────────────
# Media sepal_length : 5.7667
# Media sepal_width  : 3.5667
# Media petal_length : 2.4444
# Media petal_width  : 0.6444
# Especie predominante (moda): Iris-setosa
# ─────────────────────────────────────────
