sepal_length,sepal_width,petal_length,petal_width,species
5.5,2.3,4.0,1.3,Iris-versicolor
6.5,2.8,4.6,1.5,Iris-versicolor
5.7,2.8,4.5,1.3,Iris-versicolor
6.3,3.3,4.7,1.6,Iris-versicolor
4.9,2.4,3.3,1.0,Iris-versicolor
6.6,2.9,4.6,1.3,Iris-versicolor
5.2,2.7,3.9,1.4,Iris-versicolor
5.0,2.0,3.5,1.0,Iris-versicolor



--- Estatisticas ---
Media sepal_length: 14479049533734338664614330368.00
Media sepal_width: 6504943569728555712512.00
Media petal_length: 1775321733203531551991660544.00
Media petal_width: 1852359911247872919508877312.00
Moda species: Iris-versicolor
